min_n_rule,cut_obs,cut_after_date,next_start_date,left_alpha,left_t,left_p,left_n,right_alpha,right_t,right_p,right_n,worst_p,min_alpha,all_positive_sig
40,81,2025-08-11,2025-08-12,0.17842086209943536,2.8480593586841034,0.004398671947019243,81,0.11715427776125119,1.2557718182314401,0.20919871201485318,138,0.20919871201485318,0.11715427776125119,False
40,82,2025-08-12,2025-08-13,0.17898665392613358,2.8503901133612537,0.004366563573601811,82,0.11792010833627933,1.2605521924616607,0.20747023234104456,137,0.20747023234104456,0.11792010833627933,False
40,83,2025-08-13,2025-08-14,0.18539536230328132,2.960093334900305,0.003075458528710618,83,0.10869854556009069,1.1536976224477193,0.24862415900116197,136,0.24862415900116197,0.10869854556009069,False
40,84,2025-08-14,2025-08-15,0.17281376140191576,2.7434840430546408,0.006079100266155451,84,0.12034839156700411,1.2852970562131592,0.19868849848852732,135,0.19868849848852732,0.12034839156700411,False
40,85,2025-08-15,2025-08-18,0.1739918650854943,2.8347403092205554,0.004586295016856459,85,0.11514787928862268,1.2064869619276857,0.22762978330059624,134,0.22762978330059624,0.11514787928862268,False
40,86,2025-08-18,2025-08-19,0.16165513688905786,2.5961925001622395,0.009426323769520635,86,0.12304782658453725,1.2951211933314997,0.1952784249518016,133,0.1952784249518016,0.12304782658453725,False
40,87,2025-08-19,2025-08-20,0.1643527852214205,2.6706679503306994,0.007570049046155419,87,0.11816844535438235,1.2354534380627151,0.21666179522818674,132,0.21666179522818674,0.11816844535438235,False
40,88,2025-08-20,2025-08-21,0.14288289058852577,2.1158586731568025,0.034356829176143286,88,0.13056262672428082,1.3799950637581868,0.16758816468714566,131,0.16758816468714566,0.13056262672428082,False
40,89,2025-08-21,2025-08-22,0.1323124326289891,1.8695261888934398,0.06154964356218008,89,0.14097717180523028,1.476666210110295,0.1397651340318751,130,0.1397651340318751,0.1323124326289891,False
40,90,2025-08-22,2025-08-25,0.12992727855974395,1.8119374207686336,0.06999586648928423,90,0.14383165748837407,1.5095337597136707,0.1311624346844744,129,0.1311624346844744,0.12992727855974395,False
40,91,2025-08-25,2025-08-26,0.1521206285723009,2.2308053519841162,0.025694025284909095,91,0.1337361489105466,1.3958582685339873,0.16275717955999103,128,0.16275717955999103,0.1337361489105466,False
40,92,2025-08-26,2025-08-27,0.15486044923123216,2.2849946076826533,0.022313143946821358,92,0.1366668289778312,1.422054427908549,0.15501045102051017,127,0.15501045102051017,0.1366668289778312,False
40,93,2025-08-27,2025-08-28,0.15501169212708474,2.3060032712928438,0.021110449547562245,93,0.1359377479760596,1.4022257471305266,0.16084784542418984,126,0.16084784542418984,0.1359377479760596,False
40,94,2025-08-28,2025-08-29,0.15553343631896138,2.3339021533310924,0.019600845976945176,94,0.1386411611500948,1.4144312791752947,0.15723531149253672,125,0.15723531149253672,0.1386411611500948,False
40,95,2025-08-29,2025-09-02,0.1622227884235,2.3959731068550094,0.016576306485984495,95,0.13526486229147236,1.3826552755429784,0.16677059158537255,124,0.16677059158537255,0.13526486229147236,False
40,96,2025-09-02,2025-09-03,0.14785336168707422,2.2381258559629056,0.025212848976052565,96,0.14791326936857202,1.4358381318275868,0.15104840652546928,123,0.15104840652546928,0.14785336168707422,False
40,97,2025-09-03,2025-09-04,0.17687897706000785,2.5673110713671514,0.010249062311105665,97,0.12183512398837198,1.2483296252261955,0.2119103693658544,122,0.2119103693658544,0.12183512398837198,False
40,98,2025-09-04,2025-09-05,0.18014527569899733,2.610290542804099,0.009046535267316334,98,0.11256152660625064,1.158087236155297,0.24682843821660427,121,0.24682843821660427,0.11256152660625064,False
40,99,2025-09-05,2025-09-08,0.2032351040999399,2.6170519421147347,0.008869284371487318,99,0.08779316393726758,0.9209542877098229,0.3570742935370327,120,0.3570742935370327,0.08779316393726758,False
40,100,2025-09-08,2025-09-09,0.18966851011005978,2.6204551309804436,0.008781248478662853,100,0.09616961693172019,1.0042879759139658,0.31523982762422564,119,0.31523982762422564,0.09616961693172019,False
40,101,2025-09-09,2025-09-10,0.19375383858312675,2.6690789598674862,0.007605956730590708,101,0.09856284113691101,1.0174052587944085,0.30896068135828636,118,0.30896068135828636,0.09856284113691101,False
40,102,2025-09-10,2025-09-11,0.2042342227759376,2.7597259345906546,0.005784987001092852,102,0.09287779486549025,0.9483860420733455,0.3429329625369235,117,0.3429329625369235,0.09287779486549025,False
40,103,2025-09-11,2025-09-12,0.19851833452338585,2.7413643918397432,0.0061184611058923,103,0.08578450953930455,0.8764119717127125,0.38080611242865303,116,0.38080611242865303,0.08578450953930455,False
40,104,2025-09-12,2025-09-15,0.20167945872977283,2.79655901428687,0.005164997730553311,104,0.0908633873057038,0.91762539216074,0.3588150195115798,115,0.3588150195115798,0.0908633873057038,False
40,105,2025-09-15,2025-09-16,0.19707016814459313,2.7699817589028277,0.005605943210063468,105,0.0924093014304759,0.9246808604830753,0.3551319380450735,114,0.3551319380450735,0.0924093014304759,False
40,106,2025-09-16,2025-09-17,0.20579922035393408,2.900577049756154,0.0037247625313072985,106,0.08405895010859948,0.8325450200807007,0.405101377640366,113,0.405101377640366,0.08405895010859948,False
40,107,2025-09-17,2025-09-18,0.20260587373963926,2.8566966695350735,0.004280747135492899,107,0.08877769354380945,0.8762452331484437,0.3808967310603444,112,0.3808967310603444,0.08877769354380945,False
40,108,2025-09-18,2025-09-19,0.20756095985323933,2.9311515662230048,0.0033770797056260024,108,0.09088553784587379,0.8944021020016427,0.37110678822330334,111,0.37110678822330334,0.09088553784587379,False
40,109,2025-09-19,2025-09-22,0.20313597626631866,2.8953091249178247,0.0037878531401119952,109,0.09168076315406241,0.8961554188897257,0.3701697620358103,110,0.3701697620358103,0.09168076315406241,False
40,110,2025-09-22,2025-09-23,0.19331982122319977,2.8015924628226294,0.0050851066679521596,110,0.09688661241174741,0.9389238674676048,0.34776983406079887,109,0.34776983406079887,0.09688661241174741,False
40,111,2025-09-23,2025-09-24,0.20549708119158538,2.9845254151210345,0.0028401860570580707,111,0.09007451789089713,0.8622725713211893,0.3885375427042963,108,0.3885375427042963,0.09007451789089713,False
40,112,2025-09-24,2025-09-25,0.20041850683931964,2.9109213903067386,0.0036036466951518097,112,0.10297128530915094,0.9930226377313485,0.3206989225761032,107,0.3206989225761032,0.10297128530915094,False
