formation_date,date,total,total_weight,joint_search_analysis,joint_search_analysis_weight,joint_search_analysis_names,search_dominant,search_dominant_weight,search_dominant_names,analysis_dominant,analysis_dominant_weight,analysis_dominant_names,neither_high,neither_high_weight,neither_high_names
2025-05-01,2025-05-02,0.012047954775317685,1.0,0.0006155675932782592,0.22245118608536743,4,0.0013647530906115862,0.16662448257422577,6,0.004800008640685802,0.3506224730126775,6,0.005267625450742037,0.26030185832772934,4
2025-05-02,2025-05-05,-0.0071090489542791225,1.0,-0.0027061306084159055,0.3154043656679493,7,-0.00016128946866607227,0.05428333935500878,3,-0.0031681173304571137,0.16530106438278233,3,-0.001073511546740031,0.46501123059425964,7
2025-05-05,2025-05-06,-0.0024720015165729373,1.0,-0.000178190577910587,0.05965000256183325,4,4.733454227552646e-05,0.14018333206116365,6,-0.0003949504607319373,0.5356598546475134,6,-0.0019461950202059395,0.2645068107294898,4
2025-05-06,2025-05-07,0.004655532377173924,1.0,-0.0003732297464612411,0.1096973920752972,2,0.0013068704729846795,0.2934798718593074,8,0.002797832242059349,0.5153019416836324,8,0.0009240594085911362,0.0815207943817631,2
2025-05-07,2025-05-08,0.014394581349057422,1.0000000000000002,0.003214887446605951,0.14695331776158083,5,0.0004244432344491594,0.061387657202845364,5,0.005701471963496123,0.4714895246616333,5,0.00505377870450619,0.3201695003739403,5
2025-05-08,2025-05-09,-0.0017084903962536898,1.0,-0.0015369234720462438,0.20660309691461387,3,0.0006344318863412557,0.18936581332217786,6,-0.0015675128059236465,0.38553551357824506,6,0.0007615139953749446,0.21849557618496318,3
2025-05-09,2025-05-12,0.03286438811944197,0.9999999999999998,0.016581927187991518,0.2458126089329641,5,0.0018652454665618252,0.07688313821471933,5,0.009255137292213037,0.27875743883777965,5,0.0051620781726756,0.3985468140145368,5
2025-05-12,2025-05-13,0.010165007773074856,0.9999999999999999,0.004151607994727363,0.24976983294902236,5,-0.0001723566730094067,0.14600121512275185,5,0.0040891197021450405,0.27563506599188675,5,0.0020966367492118595,0.32859388593633887,5
2025-05-13,2025-05-14,0.018680526478483468,0.9999999999999999,0.0005601123093404148,0.08221025349002191,4,0.015033921913783476,0.3086394109134962,6,0.0022217182956125008,0.23150667400925126,6,0.0008647739597470764,0.37764366158723056,4
2025-05-14,2025-05-15,-0.0005286210744612688,1.0,-0.0025189189460985166,0.18112072636348842,4,0.0015122923595090741,0.48012319407945236,6,-0.000894596937255834,0.25298743591531436,6,0.0013726024493840075,0.08576864364174491,4
2025-05-15,2025-05-16,0.005658322462199967,0.9999999999999999,-0.0014217247697770469,0.2284595084010538,5,0.0016106942748697279,0.13388863255442876,5,0.0007845740843051439,0.05718352039156724,5,0.004684778872802142,0.58046833865295,5
2025-05-16,2025-05-19,-0.017432039940103342,1.0,-0.0001789180800629546,0.008235626085810981,6,-0.0059823338045904275,0.3880778586510707,4,-0.0034156855936413677,0.1546152300367507,4,-0.007855102461808592,0.4490712852263675,6
2025-05-19,2025-05-20,0.012115597678195103,1.0,0.003266129775518489,0.28356819494948354,4,0.000389880091932214,0.05627291357104025,6,0.0075716200556606005,0.5468340404629171,6,0.0008879677550838009,0.11332485101655916,4
2025-05-20,2025-05-21,-0.006044460328667337,1.0,-0.001596952608105564,0.31911319812992905,5,-4.7132786222181776e-05,0.03502475612017346,5,-0.0019968267790828175,0.2208506760733965,5,-0.0024035481552567737,0.425011369676501,5
2025-05-21,2025-05-22,0.003375763851859617,1.0,-0.0011067916585865607,0.25697156157507245,5,-0.003336886423454385,0.14411793388463698,5,0.008315948600946145,0.3779956034501684,5,-0.0004965066670455819,0.22091490109012232,5
