date,analyst_institutional,firm_specific_catalyst,fundamental_operations,macro_sector_theme,risk_downside,sentiment_attention,technical_price_action,valuation,total
2025-05-28,-0.0007876478918328591,0.0,0.006898808333307178,0.0,0.0,0.0,0.004744947716059046,0.0,0.010856108157533365
2025-05-29,0.0015623252044335199,0.0,0.0,0.0,0.0,0.0,0.014561188202568525,0.0,0.016123513407002046
2025-05-30,-0.003603913655951371,0.0,-0.005153689726249568,0.0,0.0,0.0,-0.004887720515407112,0.0,-0.013645323897608051
2025-06-02,0.0,0.0,-0.0027999207820313564,0.0,0.0,0.0,-0.0025823625598401664,0.0,-0.005382283341871522
2025-06-03,0.0016648618527863566,0.0,0.012548929252651782,0.0,0.0,0.0,0.0016287222840332195,0.0,0.015842513389471357
2025-06-04,-7.431858908014374e-05,0.0,-0.0005080123601681644,0.0,0.0,0.0,0.005408501590938694,0.0,0.004826170641690386
2025-06-05,0.0007534649926519746,0.0,0.00789737393750501,0.0,0.0,0.0,0.0042149499671582345,0.0,0.012865788897315218
2025-06-06,0.0027337034688620036,0.0,-0.006106886005052041,0.0,0.0,0.0,0.00014900558050279743,0.0,-0.0032241769556872408
2025-06-09,-0.004838216202684983,0.0,-0.00020644542083757364,0.0,0.0,0.0,-0.0032240635387492606,0.0,-0.008268725162271817
2025-06-10,-0.0018435396072803171,0.0,0.00019767335550760902,0.0006323610815413883,-0.0006983727913960403,0.0,-0.0010539541600257604,0.0,-0.0027658321216531205
2025-06-11,-0.001239861654437034,0.0,0.0012580131282431406,0.004052213393870608,0.0,0.0,0.0,0.0,0.004070364867676715
2025-06-12,-0.0036241585217387374,0.0,0.0002713244394546896,-8.805563961458277e-05,0.0,0.0,-0.004389206073697911,0.0,-0.007830095795596542
2025-06-13,-0.0016080440339435445,0.0,0.0026663811096231454,0.0,0.0,0.0,-0.0029547207925454764,0.0,-0.001896383716865875
